,Cueanexo,nivel
272,61368500,Nivel inicial - Jardín de infantes
273,61388000,Nivel inicial - Jardín de infantes
274,61391200,Nivel inicial - Jardín de infantes
275,61398100,Nivel inicial - Jardín de infantes
276,61401100,Nivel inicial - Jardín de infantes
277,61401800,Nivel inicial - Jardín de infantes
278,61403400,Nivel inicial - Jardín de infantes
279,61404900,Nivel inicial - Jardín de infantes
280,61409700,Nivel inicial - Jardín de infantes
281,61414500,Nivel inicial - Jardín de infantes
282,61424200,Nivel inicial - Jardín de infantes
283,61429400,Nivel inicial - Jardín de infantes
284,61431400,Nivel inicial - Jardín de infantes
285,61460600,Nivel inicial - Jardín de infantes
286,61481100,Nivel inicial - Jardín de infantes
287,61486000,Nivel inicial - Jardín de infantes
288,61486900,Nivel inicial - Jardín de infantes
289,61487100,Nivel inicial - Jardín de infantes
290,61488200,Nivel inicial - Jardín de infantes
291,61489200,Nivel inicial - Jardín de infantes
292,61494800,Nivel inicial - Jardín de infantes
293,61495600,Nivel inicial - Jardín de infantes
294,61537500,Nivel inicial - Jardín de infantes
295,61539800,Nivel inicial - Jardín de infantes
296,61546400,Nivel inicial - Jardín de infantes
297,61557800,Nivel inicial - Jardín de infantes
298,61571600,Nivel inicial - Jardín de infantes
299,61573000,Nivel inicial - Jardín de infantes
300,61585600,Nivel inicial - Jardín de infantes
301,61592500,Nivel inicial - Jardín de infantes
302,61603100,Nivel inicial - Jardín de infantes
303,61629000,Nivel inicial - Jardín de infantes
304,61643500,Nivel inicial - Jardín de infantes
305,61692400,Nivel inicial - Jardín de infantes
306,61696700,Nivel inicial - Jardín de infantes
307,61697300,Nivel inicial - Jardín de infantes
308,61699000,Nivel inicial - Jardín de infantes
309,61701800,Nivel inicial - Jardín de infantes
310,61713900,Nivel inicial - Jardín de infantes
311,61822900,Nivel inicial - Jardín de infantes
312,61824000,Nivel inicial - Jardín de infantes
313,61825000,Nivel inicial - Jardín de infantes
314,61841600,Nivel inicial - Jardín de infantes
315,61902400,Nivel inicial - Jardín de infantes
316,61906400,Nivel inicial - Jardín de infantes
317,61909800,Nivel inicial - Jardín de infantes
318,62014400,Nivel inicial - Jardín de infantes
319,62033600,Nivel inicial - Jardín de infantes
320,62035700,Nivel inicial - Jardín de infantes
321,62048200,Nivel inicial - Jardín de infantes
322,62051500,Nivel inicial - Jardín de infantes
323,62059800,Nivel inicial - Jardín de infantes
324,62066300,Nivel inicial - Jardín de infantes
325,62071200,Nivel inicial - Jardín de infantes
326,62072600,Nivel inicial - Jardín de infantes
327,62077500,Nivel inicial - Jardín de infantes
328,62079600,Nivel inicial - Jardín de infantes
329,62085000,Nivel inicial - Jardín de infantes
330,62090300,Nivel inicial - Jardín de infantes
331,62095700,Nivel inicial - Jardín de infantes
332,62103000,Nivel inicial - Jardín de infantes
333,62119700,Nivel inicial - Jardín de infantes
334,62121800,Nivel inicial - Jardín de infantes
335,62124900,Nivel inicial - Jardín de infantes
336,62125200,Nivel inicial - Jardín de infantes
337,62125700,Nivel inicial - Jardín de infantes
338,62126100,Nivel inicial - Jardín de infantes
339,62126600,Nivel inicial - Jardín de infantes
340,62129100,Nivel inicial - Jardín de infantes
341,62129400,Nivel inicial - Jardín de infantes
342,62133200,Nivel inicial - Jardín de infantes
343,62135500,Nivel inicial - Jardín de infantes
344,62136200,Nivel inicial - Jardín de infantes
345,62136900,Nivel inicial - Jardín de infantes
346,62137000,Nivel inicial - Jardín de infantes
347,62137200,Nivel inicial - Jardín de infantes
348,62140100,Nivel inicial - Jardín de infantes
349,62140200,Nivel inicial - Jardín de infantes
350,62142900,Nivel inicial - Jardín de infantes
351,62143100,Nivel inicial - Jardín de infantes
352,62145900,Nivel inicial - Jardín de infantes
353,62146600,Nivel inicial - Jardín de infantes
354,62147500,Nivel inicial - Jardín de infantes
355,62147600,Nivel inicial - Jardín de infantes
356,62149600,Nivel inicial - Jardín de infantes
357,62152600,Nivel inicial - Jardín de infantes
358,62156100,Nivel inicial - Jardín de infantes
359,62157600,Nivel inicial - Jardín de infantes
360,62158400,Nivel inicial - Jardín de infantes
361,62166600,Nivel inicial - Jardín de infantes
362,62166800,Nivel inicial - Jardín de infantes
363,62168900,Nivel inicial - Jardín de infantes
364,62169200,Nivel inicial - Jardín de infantes
