Provincia,Departamento,Cant_BP,Cant_EE,Población
Corrientes,General Paz,3,61,17016.0
Santa Fe,San Javier,3,61,33180.0
Chaco,25 de Mayo,1,61,32606.0
Santiago del Estero,Salavina,0,61,12775.0
Corrientes,Concepción,2,60,26270.0
Misiones,San Javier,2,60,23080.0
Córdoba,Tulumba,1,60,14092.0
Buenos Aires,Brandsen,3,59,32350.0
Corrientes,Paso de los Libres,3,59,56778.0
Buenos Aires,Lobería,2,59,18106.0
Formosa,Laishi,2,59,19275.0
Santiago del Estero,Ojo de Agua,2,59,15008.0
Tierra del Fuego,Ushuaia,2,59,85506.0
Corrientes,Ituzaingó,1,59,38767.0
Córdoba,Río Seco,1,59,15275.0
Buenos Aires,Navarro,2,58,19888.0
Jujuy,Humahuaca,2,58,20877.0
Buenos Aires,Presidente Perón,0,58,101994.0
Buenos Aires,General Alvarado,2,57,45307.0
Buenos Aires,Magdalena,1,57,22653.0
Chaco,O'Higgins,1,57,21544.0
San Juan,Sarmiento,1,57,27188.0
Santiago del Estero,Quebrachos,1,57,12336.0
Chaco,Bermejo,3,56,28060.0
Chaco,Chacabuco,3,56,34493.0
Catamarca,El Alto,1,56,4375.0
Corrientes,San Luis del Palmar,1,56,21381.0
Córdoba,Totoral,0,56,22473.0
Buenos Aires,Bragado,4,55,46227.0
Misiones,Candelaria,4,55,34945.0
Buenos Aires,Carlos Casares,3,55,22905.0
Buenos Aires,Mar Chiquita,1,55,32973.0
Catamarca,Andalgalá,1,55,19545.0
Chubut,Cushamen,7,54,28099.0
San Luis,Junín,7,54,40289.0
Santa Fe,Belgrano,6,54,48544.0
Buenos Aires,Salto,2,54,39257.0
San Juan,25 de Mayo,0,54,20824.0
Santiago del Estero,San Martín,0,54,11183.0
Buenos Aires,Coronel Pringles,1,53,24110.0
Buenos Aires,General Juan Madariaga,1,53,22566.0
Chaco,12 de Octubre,1,53,23179.0
Corrientes,Empedrado,1,53,17948.0
Corrientes,Saladas,1,53,29126.0
Río Negro,Avellaneda,6,52,41160.0
Jujuy,Yavi,2,52,25831.0
Salta,Santa Victoria,1,52,9411.0
Buenos Aires,Exaltación de la Cruz,0,52,40036.0
Formosa,Matacos,0,52,17017.0
Mendoza,San Carlos,5,51,39752.0
Tucumán,Río Chico,2,51,64927.0
Buenos Aires,Ensenada,5,50,63978.0
Mendoza,Tunuyán,3,50,59972.0
Buenos Aires,Adolfo Alsina,2,50,17344.0
La Rioja,Rosario Vera Peñaloza,0,50,15764.0
Buenos Aires,Rojas,1,49,25619.0
San Luis,Libertador General San Martín,1,49,4691.0
Jujuy,Cochinoca,3,48,14998.0
Buenos Aires,Rauch,2,48,16491.0
Mendoza,Rivadavia,2,48,63589.0
Buenos Aires,Roque Pérez,1,48,13901.0
Mendoza,Junín,3,47,46472.0
Buenos Aires,San Antonio de Areco,2,47,26695.0
Chaco,Independencia,0,47,21948.0
Buenos Aires,Ramallo,4,46,39648.0
Buenos Aires,Arrecifes,1,46,32077.0
Buenos Aires,Daireaux,0,46,18328.0
Buenos Aires,Coronel Dorrego,3,45,15795.0
San Luis,Belgrano,2,45,5575.0
Buenos Aires,General Alvear,1,45,10150.0
Buenos Aires,Rivadavia,1,45,19735.0
Tucumán,Graneros,1,45,15539.0
Buenos Aires,General Paz,0,45,14141.0
La Rioja,General San Martín,0,45,5017.0
Buenos Aires,Tornquist,4,44,14591.0
Buenos Aires,Monte,2,44,24616.0
Salta,Metán,2,44,48028.0
San Juan,Valle Fértil,2,44,8425.0
Buenos Aires,Carmen de Areco,1,44,17345.0
Chaco,San Lorenzo,1,44,16045.0
Salta,Rosario de Lerma,1,44,50961.0
San Luis,Chacabuco,6,43,26522.0
San Luis,Coronel Pringles,4,43,16044.0
Buenos Aires,Saavedra,3,43,21407.0
Catamarca,Pomán,3,43,12219.0
Chaco,Sargento Cabral,3,43,18696.0
Neuquén,Zapala,2,43,45540.0
Salta,Rosario de la Frontera,2,43,33750.0
Corrientes,San Cosme,1,43,19679.0
La Rioja,Chamical,1,43,15630.0
Jujuy,Palpalá,4,42,65522.0
Buenos Aires,Puan,3,42,16391.0
Catamarca,Santa Rosa,3,42,13317.0
Salta,General Güemes,3,42,55746.0
Buenos Aires,Carlos Tejedor,2,42,14007.0
Corrientes,San Roque,2,42,22682.0
Buenos Aires,Colón,1,42,27406.0
Buenos Aires,Dolores,1,42,31405.0
Catamarca,Ancasti,0,42,3282.0
Buenos Aires,Guaminí,5,41,11662.0
Catamarca,Valle Viejo,4,41,33951.0
San Juan,Santa Lucía,4,41,62697.0
Mendoza,Malargüe,1,41,32596.0
Tucumán,Trancas,1,41,23438.0
Córdoba,Minas,0,41,4855.0
Entre Ríos,Feliciano,0,41,16717.0
Neuquén,Lácar,4,40,39567.0
Buenos Aires,General Viamonte,2,40,22530.0
Buenos Aires,Tapalqué,1,40,10695.0
Santiago del Estero,Atamisqui,1,40,14894.0
Corrientes,San Martín,0,40,15164.0
La Rioja,General Ortiz de Ocampo,0,40,7347.0
