,nro_conabip,fecha_fundacion,id_depto
646,2040,1939,6875
647,1045,1924,10035
648,3541,1980,10056
649,2907,1980,22063
650,3450,1980,22140
651,2198,1942,22140
652,2686,1925,22140
653,3281,1980,22140
654,3453,1987,22140
655,3959,1980,26014
656,3256,1980,26077
657,2551,1911,26091
658,4268,2010,2000
659,1793,1932,2000
660,2014,1936,2000
661,28,1916,2000
662,3572,1986,14014
663,4322,2010,14014
664,4290,2010,14021
665,539,1917,14028
666,543,1916,14042
667,3782,1999,14056
668,4014,1980,14063
669,3915,1996,14063
670,2851,1932,14098
671,4395,2011,14126
672,3666,1980,14140
673,3748,1980,14140
674,4101,1980,14147
675,3763,1998,14147
676,4126,1980,14098
677,3298,1980,18021
678,501,1911,18070
679,4380,2015,18070
680,4239,1997,30008
681,392,1917,30015
682,4350,2001,30084
683,3636,1997,34014
684,3269,1993,34049
685,3627,1996,38014
686,3682,1980,38063
687,3275,1993,38070
688,3386,1995,42021
689,4287,2000,42056
690,3250,1984,42070
691,3618,1980,42084
692,3186,1987,42126
693,1766,1932,42126
694,719,1914,46014
695,3550,1980,50035
696,3995,2000,54014
697,3777,1980,54028
698,2561,1946,54091
699,4079,2002,54091
700,2747,1958,58035
701,3160,1980,58035
702,3023,1983,58049
703,967,1980,62014
704,2603,1932,62042
705,4261,2004,62042
706,3708,1995,66028
707,3953,1999,66028
708,4108,2004,66028
709,760,1916,66112
710,3965,1980,66056
711,704,0,70028
712,4094,1980,70028
713,4064,1991,70077
714,709,1916,70091
715,3425,1980,74028
716,987,1937,74035
717,608,1915,74049
718,3367,1980,78014
719,4046,1999,78014
720,3261,1994,78021
721,2136,1935,82007
722,1188,1998,82021
723,4045,2000,82028
724,3741,1997,82049
725,1145,1924,82056
726,3558,1996,82063
727,440,0,82084
728,3980,2000,82084
729,1152,1917,82119
730,3013,1979,82126
731,1838,1934,82126
732,2311,1945,86035
733,2252,1943,86042
734,4200,1980,86049
735,2813,1962,86147
736,3340,1980,94007
737,2130,1935,90084
738,4158,1980,90119
739,4192,1980,6035
740,4256,2006,6056
741,3045,1984,6147
742,3483,1982,6189
743,3836,1980,6357
744,4349,2014,6357
745,3913,1999,6427
746,4021,2001,6434
747,3431,1980,6434
748,2134,1940,6448
